sizeX,sizeY,dirt_rate,random_agent_performance,reflexive_agent_performance
2,2,0.1,0.04828087019469158,0.15340909090909094
2,2,0.2,0.10436464905515791,0.26829304029304024
2,2,0.4,0.12309566633576907,0.3740595238095238
2,2,0.8,0.12170963560675271,0.4193591963591964
4,4,0.1,0.02107765942030239,0.11115214887796336
4,4,0.2,0.02603450023186473,0.11074503713194193
4,4,0.4,0.027303207527731202,0.12120249205880906
4,4,0.8,0.04008068911265471,0.16689207693196198
8,8,0.1,0.006282185769505935,0.022967197384827654
8,8,0.2,0.010346936920022141,0.031808799384431714
8,8,0.4,0.02120999999999998,0.04973930647176367
8,8,0.8,0.04190999999999999,0.07898930064526222
16,16,0.1,0.008280000000000006,0.019109999999999988
16,16,0.2,0.017319999999999988,0.037679999999999984
16,16,0.4,0.033669999999999985,0.07458999999999999
16,16,0.8,0.06757999999999997,0.14264000000000002
32,32,0.1,0.009470000000000006,0.028609999999999983
32,32,0.2,0.018909999999999986,0.05407999999999999
32,32,0.4,0.036449999999999975,0.10644000000000005
32,32,0.8,0.07447,0.1894799999999999
64,64,0.1,0.009640000000000006,0.03214999999999997
64,64,0.2,0.01921999999999999,0.06113999999999998
64,64,0.4,0.03987,0.11635000000000004
64,64,0.8,0.07863000000000002,0.20894000000000004
128,128,0.1,0.010230000000000006,0.03213999999999999
128,128,0.2,0.019139999999999994,0.06570000000000001
128,128,0.4,0.039179999999999986,0.12548
128,128,0.8,0.0791,0.22490999999999992
