Algorithm_name,env_n,estates_n,solution_foundbfs,0,3369,True
dfs,0,1436,True
limited_dfs,0,1436,True
uc_search,0,3369,True
bfs,1,2857,True
dfs,1,2625,True
limited_dfs,1,2625,True
uc_search,1,2857,True
bfs,2,2152,True
dfs,2,3181,True
limited_dfs,2,3181,True
uc_search,2,2152,True
bfs,3,991,True
dfs,3,151,True
limited_dfs,3,151,True
uc_search,3,991,True
bfs,4,1603,True
dfs,4,1622,True
limited_dfs,4,1622,True
uc_search,4,1603,True
bfs,5,1754,True
dfs,5,3331,True
limited_dfs,5,3331,True
uc_search,5,1754,True
bfs,6,2489,True
dfs,6,5424,True
limited_dfs,6,5000,False
uc_search,6,2489,True
bfs,7,6217,True
dfs,7,582,True
limited_dfs,7,582,True
uc_search,7,6217,True
bfs,8,7670,True
dfs,8,1024,True
limited_dfs,8,1024,True
uc_search,8,7670,True
bfs,9,1914,True
dfs,9,2575,True
limited_dfs,9,2575,True
uc_search,9,1914,True
bfs,10,4666,True
dfs,10,4006,True
limited_dfs,10,4006,True
uc_search,10,4666,True
bfs,11,347,True
dfs,11,14,True
limited_dfs,11,14,True
uc_search,11,347,True
bfs,12,7588,True
dfs,12,4767,True
limited_dfs,12,4767,True
uc_search,12,7588,True
bfs,13,7347,True
dfs,13,5635,True
limited_dfs,13,5000,False
uc_search,13,7347,True
bfs,14,5104,True
dfs,14,4520,True
limited_dfs,14,4520,True
uc_search,14,5104,True
bfs,15,2860,True
dfs,15,4834,True
limited_dfs,15,4834,True
uc_search,15,2860,True
bfs,16,7382,True
dfs,16,3400,True
limited_dfs,16,3400,True
uc_search,16,7382,True
bfs,17,8675,True
dfs,17,5586,True
limited_dfs,17,5000,False
uc_search,17,8675,True
bfs,18,5717,True
dfs,18,4242,True
limited_dfs,18,4242,True
uc_search,18,5717,True
bfs,19,2605,True
dfs,19,7396,True
limited_dfs,19,5000,False
uc_search,19,2605,True
bfs,20,1599,True
dfs,20,6000,True
limited_dfs,20,5000,False
uc_search,20,1599,True
bfs,21,1919,True
dfs,21,5325,True
limited_dfs,21,5000,False
uc_search,21,1919,True
bfs,22,1304,True
dfs,22,1045,True
limited_dfs,22,1045,True
uc_search,22,1304,True
bfs,23,8351,True
dfs,23,789,True
limited_dfs,23,789,True
uc_search,23,8351,True
bfs,24,3994,True
dfs,24,5496,True
limited_dfs,24,5000,False
uc_search,24,3994,True
bfs,25,8893,True
dfs,25,4234,True
limited_dfs,25,4234,True
uc_search,25,8893,True
bfs,26,8316,True
dfs,26,3872,True
limited_dfs,26,3872,True
uc_search,26,8316,True
bfs,27,8849,True
dfs,27,4570,True
limited_dfs,27,4570,True
uc_search,27,8849,True
bfs,28,8423,True
dfs,28,5203,True
limited_dfs,28,5000,False
uc_search,28,8423,True
bfs,29,8773,True
dfs,29,4799,True
limited_dfs,29,4799,True
uc_search,29,8773,True
