bfs,dfs,limited_dfs,uc_search
3369,1436,1436,3369
2857,2625,2625,2857
2152,3181,3181,2152
991,151,151,991
1603,1622,1622,1603
1754,3331,3331,1754
2489,5424,,2489
6217,582,582,6217
7670,1024,1024,7670
1914,2575,2575,1914
4666,4006,4006,4666
347,14,14,347
7588,4767,4767,7588
7347,5635,,7347
5104,4520,4520,5104
2860,4834,4834,2860
7382,3400,3400,7382
8675,5586,,8675
5717,4242,4242,5717
2605,7396,,2605
1599,6000,,1599
1919,5325,,1919
1304,1045,1045,1304
8351,789,789,8351
3994,5496,,3994
8893,4234,4234,8893
8316,3872,3872,8316
8849,4570,4570,8849
8423,5203,,8423
8773,4799,4799,8773
